#a b cin s cout
4 6 1 11 0
45  65 1 111 0
455 655 1 1111 0
111 232 1 344 0
32433 43233 1 75667 0
6474 86585 0 93059 0
48574 8765875 1 8814450 0
387586 475764 0 863350 0
90898 08965 1 99864 0
4 6 1 11 0
45  65 1 111 0
455 655 1 1111 0
111 232 1 344 0
32433 43233 1 75667 0
6474 86585 0 93059 0
48574 8765875 1 8814450 0
387586 475764 0 863350 0
90898 08965 1 99864 0
4 6 1 11 0
45  65 1 111 0
455 655 1 1111 0
111 232 1 344 0
32433 43233 1 75667 0
6474 86585 0 93059 0
48574 8765875 1 8814450 0
387586 475764 0 863350 0
90898 08965 1 99864 0
4 6 1 11 0
45  65 1 111 0
455 655 1 1111 0
111 232 1 344 0
32433 43233 1 75667 0
6474 86585 0 93059 0
48574 8765875 1 8814450 0
387586 475764 0 863350 0
90898 08965 1 99864 0
4 6 1 11 0
45  65 1 111 0
455 655 1 1111 0
111 232 1 344 0
32433 43233 1 75667 0
6474 86585 0 93059 0
48574 8765875 1 8814450 0
387586 475764 0 863350 0
90898 08965 1 99864 0
4 6 1 11 0
45  65 1 111 0
455 655 1 1111 0
111 232 1 344 0
32433 43233 1 75667 0
6474 86585 0 93059 0
48574 8765875 1 8814450 0
387586 475764 0 863350 0
90898 08965 1 99864 0
4 6 1 11 0
45  65 1 111 0
455 655 1 1111 0
111 232 1 344 0
32433 43233 1 75667 0
6474 86585 0 93059 0
48574 8765875 1 8814450 0
387586 475764 0 863350 0
90898 08965 1 99864 0
